,Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
3341,2005,Y2,"A. Gifford,Miller",Individual,10/14/2005 00:00:00,New York,NY,10011.0,400,Campaign Workers Salaries,Campgn Wrkrs $$
3342,2005,Y2,"A. Gifford,Miller",Individual,9/30/2005 00:00:00,New York,NY,10011.0,500,Campaign Workers Salaries,Campgn Wrkrs $$
3343,2005,Y2,"A. Gifford,Miller",Individual,10/7/2005 00:00:00,New York,NY,10011.0,500,Campaign Workers Salaries,Campgn Wrkrs $$
3344,2005,Y2,"A. Gifford,Miller",Individual,8/15/2005 00:00:00,New York,NY,10011.0,1129,Campaign Workers Salaries,Campgn Wrkrs $$
3345,2005,Y2,"A. Gifford,Miller",Individual,9/15/2005 00:00:00,New York,NY,10011.0,1000,Campaign Workers Salaries,Campgn Wrkrs $$
3346,2005,Y2,"A. Gifford,Miller",Individual,8/27/2005 00:00:00,New York,NY,,360,Petition Expenses,Petition Expns.
3347,2005,Y2,"A. Gifford,Miller",Individual,8/19/2005 00:00:00,New York,NY,,450,Campaign Workers Salaries,Campgn Wrkrs $$
3348,2005,Y2,"A. Gifford,Miller",Individual,8/5/2005 00:00:00,New York,NY,,270,Campaign Workers Salaries,Campgn Wrkrs $$
3349,2005,Y2,"A. Gifford,Miller",Individual,8/12/2005 00:00:00,New York,NY,,548,Petition Expenses,Petition Expns.
3350,2005,Y2,"A. Gifford,Miller",Individual,7/8/2005 00:00:00,staten island,NY,,90,Campaign Workers Salaries,Campgn Wrkrs $$
3351,2005,Y2,"A. Gifford,Miller",Individual,7/15/2005 00:00:00,staten island,NY,,1530,Petition Expenses,Petition Expns.
3352,2005,Y2,"A. Gifford,Miller",Individual,8/9/2005 00:00:00,staten island,NY,,990,Petition Expenses,Petition Expns.
3353,2005,AY,"Fernando,Ferrer",Corporation,4/19/2005 00:00:00,Atlanta,GA,30384.0,67,Office Expenses,Office Expenses
3354,2005,AY,"Fernando,Ferrer",Corporation,3/27/2005 00:00:00,Atlanta,GA,30384.0,37,Office Expenses,Office Expenses
3355,2005,AY,"Fernando,Ferrer",Corporation,5/12/2005 00:00:00,Atlanta,GA,30384.0,6,Office Expenses,Office Expenses
3356,2005,605,"Michael,Bloomberg",Limited Liability Company,3/15/2005 00:00:00,Woodcliff Lake,NJ,7677.0,130,Office Expenses,Office Expenses
3357,2005,605,"Michael,Bloomberg",Limited Liability Company,4/25/2005 00:00:00,Woodcliff Lake,NJ,7677.0,238,Office Expenses,Office Expenses
3358,2005,605,"Michael,Bloomberg",Limited Liability Company,10/13/2005 00:00:00,Woodcliff Lake,NJ,7677.0,687,Office Expenses,Office Expenses
3359,2005,605,"Michael,Bloomberg",Limited Liability Company,7/8/2005 00:00:00,Woodcliff Lake,NJ,7677.0,130,Office Expenses,Office Expenses
3360,2005,605,"Michael,Bloomberg",Limited Liability Company,6/28/2005 00:00:00,Woodcliff Lake,NJ,7677.0,103,Office Expenses,Office Expenses
3361,2005,605,"Michael,Bloomberg",Limited Liability Company,6/28/2005 00:00:00,Woodcliff Lake,NJ,7677.0,130,Office Expenses,Office Expenses
3362,2005,605,"Michael,Bloomberg",Limited Liability Company,6/6/2005 00:00:00,Woodcliff Lake,NJ,7677.0,103,Office Expenses,Office Expenses
3363,2005,605,"Michael,Bloomberg",Limited Liability Company,5/23/2005 00:00:00,Woodcliff Lake,NJ,7677.0,136,Office Expenses,Office Expenses
3364,2005,605,"Michael,Bloomberg",Limited Liability Company,8/15/2005 00:00:00,Woodcliff Lake,NJ,7677.0,139,Office Expenses,Office Expenses
3365,2005,605,"Michael,Bloomberg",Limited Liability Company,9/20/2005 00:00:00,Woodcliff Lake,NJ,7677.0,555,Office Expenses,Office Expenses
3366,2005,605,"Michael,Bloomberg",Limited Liability Company,11/14/2005 00:00:00,Woodcliff Lake,NJ,7677.0,1451,Office Expenses,Office Expenses
3367,2005,605,"Michael,Bloomberg",Limited Liability Company,8/23/2005 00:00:00,Woodcliff Lake,NJ,7677.0,152,Office Expenses,Office Expenses
3368,2005,605,"Michael,Bloomberg",Limited Liability Company,7/20/2005 00:00:00,Woodcliff Lake,NJ,7677.0,130,Office Expenses,Office Expenses
3369,2005,605,"Michael,Bloomberg",Limited Liability Company,8/17/2005 00:00:00,Woodcliff Lake,NJ,7677.0,303,Office Expenses,Office Expenses
3370,2005,605,"Michael,Bloomberg",Limited Liability Company,12/16/2005 00:00:00,Woodcliff Lake,NJ,7677.0,2539,Office Expenses,Office Expenses
3371,2005,605,"Michael,Bloomberg",Other,9/6/2005 00:00:00,New York,NY,10002.0,200,Other,Other: explntion
3372,2005,605,"Michael,Bloomberg",Limited Liability Company,4/22/2005 00:00:00,Washington,DC,20007.0,112023,Other,Other: explntion
3373,2005,605,"Michael,Bloomberg",Limited Liability Company,11/29/2005 00:00:00,Washington,DC,20007.0,127122,Professional Services,Prof. Srvcs.
3374,2005,605,"Michael,Bloomberg",Limited Liability Company,9/15/2005 00:00:00,Washington,DC,20007.0,149108,Professional Services,Prof. Srvcs.
3375,2005,605,"Michael,Bloomberg",Limited Liability Company,9/16/2005 00:00:00,Washington,DC,20007.0,70974,Professional Services,Prof. Srvcs.
3376,2005,605,"Michael,Bloomberg",Limited Liability Company,6/28/2005 00:00:00,Washington,DC,20007.0,12000,Office Expenses,Office Expenses
3377,2005,605,"Michael,Bloomberg",Limited Liability Company,6/28/2005 00:00:00,Washington,DC,20007.0,8850,Office Expenses,Office Expenses
3378,2005,605,"Michael,Bloomberg",Limited Liability Company,6/21/2005 00:00:00,Washington,DC,20007.0,204243,Office Expenses,Office Expenses
3379,2005,605,"Michael,Bloomberg",Limited Liability Company,3/31/2005 00:00:00,Washington,DC,20007.0,216949,Office Expenses,Office Expenses
3380,2005,605,"Michael,Bloomberg",Limited Liability Company,9/6/2005 00:00:00,Washington,DC,20007.0,623616,Other,Other: explntion
3381,2005,605,"Michael,Bloomberg",Limited Liability Company,10/11/2004 00:00:00,Washington,DC,20007.0,4365,Office Expenses,Office Expenses
3382,2005,605,"Michael,Bloomberg",Limited Liability Company,12/7/2004 00:00:00,Washington,DC,20007.0,137115,Office Expenses,Office Expenses
3383,2005,605,"Michael,Bloomberg",Limited Liability Company,10/12/2005 00:00:00,Washington,DC,20007.0,38500,Professional Services,Prof. Srvcs.
