Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
2021,2546,"Andrew,Yang",Corporation,Glendale,NY,11385,91.57,Other,Other: explntion
2021,148,"Scott,Stringer",Limited Liability Company,New York,NY,10006,3240.75,Office Rent,Office Rent
2021,148,"Scott,Stringer",Limited Liability Company,New York,NY,10006,13240.75,Office Rent,Office Rent
2021,148,"Scott,Stringer",Limited Liability Company,New York,NY,10006,16762.5,Office Rent,Office Rent
2021,148,"Scott,Stringer",Limited Liability Company,New York,NY,10006,-10000,,
2021,2393,"Maya,Wiley",Political Action Committee,New York,NY,10036,1500,Fundraising,Fundraising
2021,1545,"Eric,Adams",Corporation,New York,NY,10030,4000,Office Rent,Office Rent
2021,148,"Scott,Stringer",Corporation,Bronx,NY,10451,574.86,Professional Services,Prof. Srvcs.
2021,2546,"Andrew,Yang",Other,"Toronto, Canada",,,529.97,Office Expenses,Office Expenses
2021,2546,"Andrew,Yang",Other,"Toronto, Canada",,,277.66,Office Expenses,Office Expenses
2021,2546,"Andrew,Yang",Other,"Toronto, Canada",,,369.74,Office Expenses,Office Expenses
2021,2546,"Andrew,Yang",Other,"Toronto, Canada",,,324.9,Office Expenses,Office Expenses
2021,2546,"Andrew,Yang",Other,"Toronto, Canada",,,463.28,Office Expenses,Office Expenses
2021,2546,"Andrew,Yang",Other,"Toronto, Canada",,,568.76,Office Expenses,Office Expenses
2021,2366,"William,Pepitone",Corporation,Staten Island,NY,10312,152.43,Office Expenses,Office Expenses
2021,2366,"William,Pepitone",Corporation,Staten Island,NY,10312,1050.1,Office Expenses,Office Expenses
2021,2366,"William,Pepitone",Corporation,Staten Island,NY,10312,435.5,Office Expenses,Office Expenses
2021,2366,"William,Pepitone",Corporation,Staten Island,NY,10312,152.43,Office Expenses,Office Expenses
2021,2366,"William,Pepitone",Corporation,Staten Island,NY,,152.43,Campaign Literature,Campgn Lit.
2021,2366,"William,Pepitone",Corporation,Staten Island,NY,,816.56,Campaign Literature,Campgn Lit.
2021,2379,"Julia,Reaves",Political Action Committee,Brooklyn,NY,11225,50,Other,Other: explntion
2021,1545,"Eric,Adams",Corporation,Jamaica,NY,11411,16.22,Office Expenses,Office Expenses
2021,2393,"Maya,Wiley",Limited Liability Company,Addison,TX,75001,50,Professional Services,Prof. Srvcs.
2021,2393,"Maya,Wiley",Limited Liability Company,Addison,TX,75001,171.09,Professional Services,Prof. Srvcs.
2021,2393,"Maya,Wiley",Limited Liability Company,Addison,TX,75001,21.75,Professional Services,Prof. Srvcs.
2021,2393,"Maya,Wiley",Limited Liability Company,Addison,TX,75001,25,Professional Services,Prof. Srvcs.
2021,2393,"Maya,Wiley",Limited Liability Company,New York,NY,10007,38,Fundraising,Fundraising
2021,1545,"Eric,Adams",Corporation,Brooklyn,NY,11225,6000,Office Rent,Office Rent
2021,1545,"Eric,Adams",Corporation,Brooklyn,NY,11225,6000,Office Rent,Office Rent
2021,1545,"Eric,Adams",Corporation,New York,NY,10013,33,Other,Other: explntion
2021,2242,"Dianne,Morales",Corporation,,,,81.66,Office Expenses,Office Expenses
2021,2618,"Curtis,Sliwa",Limited Liability Company,New York,NY,10173,10000,Office Rent,Office Rent
2021,148,"Scott,Stringer",Corporation,Chicago,IL,60673,156.48,Office Expenses,Office Expenses
2021,1545,"Eric,Adams",Corporation,New York,NY,10006,500,Fundraising,Fundraising
2021,1160,"Ruben,Diaz Jr.",Corporation,New York,NY,10018,1300,Fundraising,Fundraising
2021,1160,"Ruben,Diaz Jr.",Corporation,New York,NY,10018,500,Other,Other: explntion
2021,148,"Scott,Stringer",Corporation,New York,NY,10004,600,Office Rent,Office Rent
2021,2618,"Curtis,Sliwa",Other,,,,33.63,Other,Other: explntion
2021,1286,"Kevin,Coenen, Jr.",Limited Liability Company,New York,NY,10022,2720.31,Office Rent,Office Rent
2021,1286,"Kevin,Coenen, Jr.",Limited Liability Company,New York,NY,10022,1994.9,Office Rent,Office Rent
2021,1286,"Kevin,Coenen, Jr.",Limited Liability Company,New York,NY,10022,2720.31,Office Rent,Office Rent
2021,1286,"Kevin,Coenen, Jr.",Limited Liability Company,New York,NY,10022,5354.69,Other,Other: explntion
2021,1286,"Kevin,Coenen, Jr.",Limited Liability Company,New York,NY,10022,-5354.69,,
2021,148,"Scott,Stringer",Corporation,New York,NY,10040,202.51,Fundraising,Fundraising
2021,148,"Scott,Stringer",Corporation,New York,NY,10002,1150,Fundraising,Fundraising
2021,1545,"Eric,Adams",Corporation,Jamaica,NY,11412,17.38,Other,Other: explntion
2021,1545,"Eric,Adams",Corporation,Jamaica,NY,11412,13.03,Other,Other: explntion
2021,1545,"Eric,Adams",Corporation,Jamaica,NY,11411,43.33,Office Expenses,Office Expenses
