,Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
3209,2021,2393,"Maya,Wiley",Individual,6/15/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3210,2021,2393,"Maya,Wiley",Individual,6/30/2021,New Castle,DE,19720.0,1328,Campaign Workers Salaries,Campgn Wrkrs $$
3211,2021,2393,"Maya,Wiley",Individual,12/31/2020,New Castle,DE,19720.0,2542,Campaign Workers Salaries,Campgn Wrkrs $$
3212,2021,2393,"Maya,Wiley",Individual,1/15/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3213,2021,2393,"Maya,Wiley",Individual,1/29/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3214,2021,2393,"Maya,Wiley",Individual,2/12/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3215,2021,2393,"Maya,Wiley",Individual,2/26/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3216,2021,2393,"Maya,Wiley",Individual,3/15/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3217,2021,2393,"Maya,Wiley",Individual,3/31/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3218,2021,2393,"Maya,Wiley",Individual,4/15/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3219,2021,2393,"Maya,Wiley",Individual,4/30/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3220,2021,2393,"Maya,Wiley",Individual,5/14/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3221,2021,2393,"Maya,Wiley",Individual,5/28/2021,New Castle,DE,19720.0,2284,Campaign Workers Salaries,Campgn Wrkrs $$
3222,2021,2546,"Andrew,Yang",Individual,7/12/2021,New York,NY,10009.0,540,Office Expenses,Office Expenses
3223,2021,2242,"Dianne,Morales",Individual,6/15/2021,,,,2000,Campaign Workers Salaries,Campgn Wrkrs $$
