Election,CandidateID,CandidateName,Date,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose,Amount,MatchAmt,PrevAmt
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11201,-518.72,Office Expenses,Office Expenses,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11201,-1041.93,Office Expenses,Office Expenses,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11201,-1500,Office Rent,Office Rent,,,
2017,2055,"Roque,De La Fuente",,Corporation,New York,NY,10025,-6000,Professional Services,Prof. Srvcs.,,,
2017,2055,"Roque,De La Fuente",,Corporation,New York,NY,10025,-6000,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,New York,NY,10128,-262.56,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11217,-800,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Long Island City,NY,11101,-1000,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,New York,NY,10016,-938.07,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,New York,NY,10040,-21.33,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,New York,NY,10040,-2000,Fundraising,Fundraising,,,
2017,2054,"Robert,Gangi",,Corporation,New York,NY,10024,-780.35,Campaign Literature,Campgn Lit.,,,
2017,2054,"Robert,Gangi",,Corporation,New York,NY,10024,-887.33,Other,Other: explntion,,,
2017,2054,"Robert,Gangi",,Corporation,New York,NY,10024,-26.13,Other,Other: explntion,,,
2017,2054,"Robert,Gangi",,Corporation,New York,NY,10024,-915,Campaign Literature,Campgn Lit.,,,
2017,2054,"Robert,Gangi",,Corporation,New York,NY,10024,-437,Campaign Literature,Campgn Lit.,,,
2017,2054,"Robert,Gangi",,Corporation,New York,NY,10024,-330,Campaign Literature,Campgn Lit.,,,
2017,2054,"Robert,Gangi",,Corporation,New York,NY,10024,-1330.45,Campaign Literature,Campgn Lit.,,,
2017,326,"Bill,de Blasio",,Corporation,New York,NY,10010,-63.35,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-807.85,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-40.85,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-163.31,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-381.06,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-381.06,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-163.31,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-1252.07,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-544.38,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-544.38,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11205,-272.19,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Santa Monica,CA,90403,-653,Office Rent,Office Rent,,,
2017,326,"Bill,de Blasio",,Corporation,Santa Monica,CA,90403,-415,Office Rent,Office Rent,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11201,-100,Office Expenses,Office Expenses,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11201,-100,Office Expenses,Office Expenses,,,
2017,326,"Bill,de Blasio",,Corporation,Brooklyn,NY,11201,-100,Office Expenses,Office Expenses,,,
2017,326,"Bill,de Blasio",,Corporation,Bronx,NY,10461,-5000,Fundraising,Fundraising,,,
2017,2051,"Collin,Slattery",,Corporation,,,,-3.75,Other,Other: explntion,,,
2017,2051,"Collin,Slattery",,Corporation,,,,-9.7,Other,Other: explntion,,,
2017,2051,"Collin,Slattery",,Corporation,,,,-5.26,Other,Other: explntion,,,
2017,2051,"Collin,Slattery",,Corporation,,,,-1.5,Other,Other: explntion,,,
2017,2051,"Collin,Slattery",,Corporation,,,,-3.38,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1572.59,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1486.95,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-2920.62,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-8298.73,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-2867.39,Other,Other: explntion,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1.75,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-276.04,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-253.88,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-4855.46,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-94.16,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-821.1,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1101.02,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1200.36,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-860.58,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-4027.57,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-12.31,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-4027.57,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1029.43,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-639.93,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-749.95,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-7276.12,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1299.39,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1192.13,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-2862.6,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1035.95,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-4343.62,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Corporation,Somerville,MA,02144,-1568.8,Fundraising,Fundraising,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-54.25,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-16,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-40.89,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-51.25,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-17.99,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-4,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-4,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5.5,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5.5,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5.5,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-8,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-7.5,Advance Repayment,Advance Repaymnt,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-2500,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-5000,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Individual,Brooklyn,NY,11225,-2500,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-3565.74,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-114.87,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-4058.8,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-137.84,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-6216.87,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-150.59,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-5836.92,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-6464.22,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-153.14,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-7867.73,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-176.11,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-9245.75,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-188.87,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-188.87,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-188.87,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-8513.61,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-807.34,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-683.3,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-177.94,Office Expenses,Office Expenses,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-8840.11,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-1649.03,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-2900.5,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-1638.63,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-591.5,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-584.94,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-1904.74,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-84.56,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-717.73,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-84.56,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-109.56,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-84.56,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-815.33,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-84.56,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-772.03,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-936.26,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-92.39,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-84.56,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-89.96,Professional Services,Prof. Srvcs.,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-1053.04,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-1053.04,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-475.4,Campaign Workers Salaries,Campgn Wrkrs $$,,,
2017,326,"Bill,de Blasio",,Corporation,El Paso,TX,79912,-483.51,Campaign Workers Salaries,Campgn Wrkrs $$,,,
