Election,CandidateID,CandidateName,Date,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose,Amount,MatchAmt,PrevAmt
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10011,-23,Other,Other: explntion,,,
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10018,-35,Other,Other: explntion,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-4660,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-7363,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-340,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-537,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-4048,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-4015,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-6220,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-8004,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-4058,Office Rent,Office Rent,,,
2005,BB,"Anthony,Weiner",,Limited Liability Company,New York,NY,10021,-11985,Office Rent,Office Rent,,,
2005,AY,"Fernando,Ferrer",,Labor Union,New York,NY,10036,-40,Office Rent,Office Rent,,,
2005,AY,"Fernando,Ferrer",,Labor Union,New York,NY,10036,-800,Other,Other: explntion,,,
2005,605,"Michael,Bloomberg",,Limited Liability Company,New York,NY,10018,-90,Office Expenses,Office Expenses,,,
2005,605,"Michael,Bloomberg",,Limited Liability Company,New York,NY,10018,-87,Office Expenses,Office Expenses,,,
2005,Y2,"A. Gifford,Miller",,Individual,New York,NY,10038,-4513,Office Rent,Office Rent,,,
2005,Y2,"A. Gifford,Miller",,Individual,New York,NY,10038,-2257,Office Rent,Office Rent,,,
2005,Y2,"A. Gifford,Miller",,Individual,New York,NY,10038,-1674,Office Rent,Office Rent,,,
2005,Y2,"A. Gifford,Miller",,Individual,New York,NY,10038,-583,Office Expenses,Office Expenses,,,
2005,Y2,"A. Gifford,Miller",,Individual,New York,NY,10038,-978,Office Rent,Office Rent,,,
2005,Y2,"A. Gifford,Miller",,Individual,New York,NY,10038,-1279,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Corporation,New York,NY,10040,-3890,Other,Other: explntion,,,
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10010,-3500,Professional Services,Prof. Srvcs.,,,
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10010,-3500,Professional Services,Prof. Srvcs.,,,
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10010,-2500,Professional Services,Prof. Srvcs.,,,
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10010,-2500,Professional Services,Prof. Srvcs.,,,
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10010,-3500,Professional Services,Prof. Srvcs.,,,
2005,AY,"Fernando,Ferrer",,Corporation,New York,NY,10010,-2500,Professional Services,Prof. Srvcs.,,,
2005,B6,"C. Virginia,Fields",,Corporation,New York,NY,10033,-1400,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Limited Liability Company,Brooklyn,NY,11234,-1497,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Limited Liability Company,Brooklyn,NY,11234,-356,Office Expenses,Office Expenses,,,
2005,605,"Michael,Bloomberg",,Limited Liability Company,Brooklyn,NY,11234,-5800,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Limited Liability Company,Brooklyn,NY,11234,-2058,Office Rent,Office Rent,,,
2005,AY,"Fernando,Ferrer",,Limited Liability Company,New York,NY,10016,-24,Other,Other: explntion,,,
2005,605,"Michael,Bloomberg",,Corporation,Tarrytown,NY,10591,-903,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Corporation,Tarrytown,NY,10591,-3500,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Corporation,Tarrytown,NY,10591,-3500,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Corporation,Tarrytown,NY,10591,-3500,Office Rent,Office Rent,,,
2005,605,"Michael,Bloomberg",,Limited Liability Company,Brooklyn,NY,11204,-3200,Office Rent,Office Rent,,,
2005,AY,"Fernando,Ferrer",,Limited Liability Company,New York,NY,10033,-42,Other,Other: explntion,,,
