Election,CandidateID,CandidateName,ContributionType,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,204,"Christine,Quinn",Corporation,New York,NY,10007,37.93,Office Expenses,Office Expenses
2013,204,"Christine,Quinn",Corporation,New York,NY,10007,14.94,Office Expenses,Office Expenses
2013,204,"Christine,Quinn",Corporation,New York,NY,10007,505.96,Office Expenses,Office Expenses
2013,204,"Christine,Quinn",Corporation,New York,NY,10007,61.61,Office Expenses,Office Expenses
2013,1796,"Jack,Hidary",Limited Liability Company,New York,NY,10025,5000,Campaign Consultants,Campgn Consuls.
2013,1796,"Jack,Hidary",Individual,,,,682.5,Petition Expenses,Petition Expns.
2013,1796,"Jack,Hidary",Individual,,,,405,Petition Expenses,Petition Expns.
2013,326,"Bill,de Blasio",Individual,New York,NY,10036,15.22,Advance Repayment,Advance Repaymnt
2013,,"John,Liu",Corporation,New York,NY,10013,4748.18,Printing Expenses,Print Ads
2013,,"John,Liu",Corporation,New York,NY,10013,2142,Printing Expenses,Print Ads
2013,,"John,Liu",Corporation,New York,NY,10013,2142,Printing Expenses,Print Ads
2013,1796,"Jack,Hidary",Individual,New York,NY,10006,21,Campaign Workers Salaries,Campgn Wrkrs $$
2013,1796,"Jack,Hidary",Individual,,,,150,Petition Expenses,Petition Expns.
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
2013,260,"William,Thompson, Jr.",Individual,Springfield Gardens,NY,11413,845.3,Campaign Workers Salaries,Campgn Wrkrs $$
