Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2013,326,"Bill,de Blasio",Individual,10/23/2013,Glenarden,MD,20706,1375,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,10/30/2013,Glenarden,MD,20706,409,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,11/4/2013,Glenarden,MD,20706,450,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,11/6/2013,Glenarden,MD,20706,1832,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,11/20/2013,Glenarden,MD,20706,1832,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,11/25/2013,Glenarden,MD,20706,333,Advance Repayment,Advance Repaymnt
2013,326,"Bill,de Blasio",Individual,12/4/2013,Glenarden,MD,20706,1832,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,12/18/2013,Glenarden,MD,20706,1832,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,12/30/2013,Glenarden,MD,20706,1732,Campaign Workers Salaries,Campgn Wrkrs $$
2013,326,"Bill,de Blasio",Individual,9/26/2013,Glenarden,MD,20706,-1375,,
2013,326,"Bill,de Blasio",Individual,10/9/2013,Glenarden,MD,20706,-1375,,
2013,1690,"Joseph,Lhota",Limited Liability Company,8/15/2013,Saint Paul,MN,55128,152,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,8/7/2013,Saint Paul,MN,55128,2180,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,8/7/2013,Saint Paul,MN,55128,1992,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,8/7/2013,Saint Paul,MN,55128,4568,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,8/21/2013,Saint Paul,MN,55128,2177,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,8/27/2013,Saint Paul,MN,55128,13531,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,8/29/2013,Saint Paul,MN,55128,1650,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,9/3/2013,Saint Paul,MN,55128,1244,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,9/9/2013,Saint Paul,MN,55128,6653,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,9/12/2013,Saint Paul,MN,55128,4117,Professional Services,Prof. Srvcs.
2013,1690,"Joseph,Lhota",Limited Liability Company,5/1/2013,Saint Paul,MN,55128,500,Fundraising,Fundraising
