Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2009,260,"William,Thompson, Jr.",Corporation,9/11/2009 0:00,New York,NY,10007,38,Other,Other: explntion
2009,260,"William,Thompson, Jr.",Corporation,6/14/2007 0:00,New York,NY,10007,49,Other,Other: explntion
2009,1286,"Kevin,Coenen",Limited Liability Company,3/16/2009 0:00,New York,NY,10106,30,Other,Other: explntion
2009,1286,"Kevin,Coenen",Limited Liability Company,3/23/2009 0:00,New York,NY,10106,30,Other,Other: explntion
2009,260,"William,Thompson, Jr.",Corporation,7/28/2006 0:00,Beverly Hills,CA,,21,Other,Other: explntion
2009,260,"William,Thompson, Jr.",Corporation,3/6/2008 0:00,New York,NY,10022,962,Fundraising,Fundraising
2009,260,"William,Thompson, Jr.",Corporation,11/27/2007 0:00,New York,NY,10022,1905,Fundraising,Fundraising
2009,260,"William,Thompson, Jr.",Corporation,5/24/2007 0:00,New York,NY,10003,600,Fundraising,Fundraising
2009,605,"Michael,Bloomberg",Limited Liability Company,11/2/2009 0:00,Astoria,NY,11105,150,Other,Other: explntion
2009,605,"Michael,Bloomberg",Corporation,10/26/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,11/27/2009 0:00,Brooklyn,NY,11234,-3800,,
2009,605,"Michael,Bloomberg",Corporation,6/23/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,5/26/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,4/30/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,4/30/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,8/24/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,9/29/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,7/22/2009 0:00,Brooklyn,NY,11234,3800,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,1/7/2010 0:00,Bronx,NY,10461,-4000,,
2009,605,"Michael,Bloomberg",Limited Liability Company,10/26/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,11/30/2009 0:00,Bronx,NY,10461,243,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Limited Liability Company,3/5/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,3/5/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,3/25/2009 0:00,Bronx,NY,10461,3483,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,9/29/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,7/22/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,8/24/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,6/23/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,5/26/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,4/23/2009 0:00,Bronx,NY,10461,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Corporation,12/2/2009 0:00,New York,NY,10016,55,Office Expenses,Office Expenses
2009,260,"William,Thompson, Jr.",Limited Liability Company,6/26/2009 0:00,Astoria,NY,11106,100,Television Ads,Television Ads.
2009,260,"William,Thompson, Jr.",Party Committee,6/21/2006 0:00,Brooklyn,NY,11234,150,Printing Expenses,Print Ads
2009,51,"Tony,Avella",Corporation,2/2/2009 0:00,Whitestone,NY,11357,1029,Fundraising,Fundraising
2009,260,"William,Thompson, Jr.",Corporation,10/26/2009 0:00,Lawrence,NY,11559,400,Printing Expenses,Print Ads
2009,260,"William,Thompson, Jr.",Corporation,9/22/2009 0:00,Lawrence,NY,11559,400,Printing Expenses,Print Ads
2009,260,"William,Thompson, Jr.",Party Committee,6/21/2006 0:00,Queens,NY,11364,150,Printing Expenses,Print Ads
2009,260,"William,Thompson, Jr.",Party Committee,10/30/2007 0:00,Queens,NY,11364,200,Printing Expenses,Print Ads
2009,260,"William,Thompson, Jr.",Corporation,9/1/2009 0:00,New York,NY,10004,883,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,10/26/2009 0:00,New York,NY,10024,9200,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,1/5/2010 0:00,New York,NY,10024,-10400,,
2009,605,"Michael,Bloomberg",Limited Liability Company,1/5/2010 0:00,New York,NY,10024,-8000,,
2009,605,"Michael,Bloomberg",Limited Liability Company,6/10/2009 0:00,New York,NY,10024,-500,,
2009,605,"Michael,Bloomberg",Limited Liability Company,6/16/2009 0:00,New York,NY,10024,119,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Limited Liability Company,5/19/2009 0:00,New York,NY,10024,500,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,3/20/2009 0:00,New York,NY,10024,500,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,3/25/2009 0:00,New York,NY,10024,1548,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,3/20/2009 0:00,New York,NY,10024,8000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,3/20/2009 0:00,New York,NY,10024,4000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,4/28/2009 0:00,New York,NY,10024,53,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Limited Liability Company,6/23/2009 0:00,New York,NY,10024,10400,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,8/24/2009 0:00,New York,NY,10024,9200,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,6/23/2009 0:00,New York,NY,10024,8586,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,9/29/2009 0:00,New York,NY,10024,9200,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,7/22/2009 0:00,New York,NY,10024,9200,Office Rent,Office Rent
2009,260,"William,Thompson, Jr.",Corporation,3/8/2007 0:00,New York,NY,10003,54,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,6/25/2009 0:00,Brooklyn,NY,11243,1750,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,5/28/2009 0:00,Brooklyn,NY,11243,1400,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,5/27/2009 0:00,Brooklyn,NY,11243,175,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,6/3/2009 0:00,Brooklyn,NY,11243,350,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,5/5/2009 0:00,Brooklyn,NY,11243,1575,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,12/16/2009 0:00,Brooklyn,NY,11243,3190,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,7/30/2009 0:00,Brooklyn,NY,11243,1750,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,9/17/2009 0:00,Brooklyn,NY,11243,2800,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,9/15/2009 0:00,Brooklyn,NY,11243,2857,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,8/17/2009 0:00,Brooklyn,NY,11243,386,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,10/1/2009 0:00,Brooklyn,NY,11243,85,Other,Other: explntion
2009,605,"Michael,Bloomberg",Limited Liability Company,9/18/2009 0:00,Brooklyn,NY,11219,3000,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,9/18/2009 0:00,Brooklyn,NY,11219,10500,Office Rent,Office Rent
2009,605,"Michael,Bloomberg",Limited Liability Company,12/18/2009 0:00,Brooklyn,NY,11219,-3000,,
2009,605,"Michael,Bloomberg",Corporation,11/2/2009 0:00,New York,NY,10016,1776,Other,Other: explntion
2009,260,"William,Thompson, Jr.",Corporation,2/12/2009 0:00,Albany,NY,12207,753,Fundraising,Fundraising
2009,260,"William,Thompson, Jr.",Corporation,11/5/2009 0:00,New York,NY,10040,400,Other,Other: explntion
2009,605,"Michael,Bloomberg",Corporation,10/13/2009 0:00,New York,NY,10040,450,Other,Other: explntion
2009,260,"William,Thompson, Jr.",Corporation,11/6/2007 0:00,New York,NY,10019,35,Other,Other: explntion
2009,260,"William,Thompson, Jr.",Corporation,11/6/2007 0:00,New York,NY,10007,28,Other,Other: explntion
2009,260,"William,Thompson, Jr.",Corporation,11/3/2009 0:00,Brooklyn,NY,11204,157,Fundraising,Fundraising
2009,605,"Michael,Bloomberg",Corporation,11/18/2009 0:00,Monroe,NY,10950,11197,Campaign Consultants,Campgn Consuls.
2009,260,"William,Thompson, Jr.",Corporation,7/7/2008 0:00,Brooklyn,NY,11217,112,Other,Other: explntion
2009,605,"Michael,Bloomberg",Corporation,6/24/2009 0:00,New York,NY,10036,575,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Corporation,3/25/2009 0:00,New York,NY,10036,379,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Corporation,9/9/2009 0:00,New York,NY,10036,75,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Corporation,4/20/2009 0:00,New York,NY,10036,68,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Corporation,3/2/2009 0:00,New York,NY,10036,15914,Office Expenses,Office Expenses
2009,605,"Michael,Bloomberg",Corporation,10/20/2009 0:00,Mount Vernon,NY,10550,2449,Other,Other: explntion
2009,605,"Michael,Bloomberg",Corporation,10/21/2009 0:00,Mount Vernon,NY,10550,589,Office Expenses,Office Expenses
