Election,CandidateID,CandidateName,ContributionType,Date,City,State,ZipCode,Amount,PurposeCode,Purpose
2017,326,"Bill,de Blasio",Corporation,10/19/2017,New York,NY,10022,52,Other,Other: explntion
2017,2139,"Akeem,Browder",Other,10/24/2017,New York,NY,10036,87,Printing Expenses,Print Ads
2017,326,"Bill,de Blasio",Corporation,9/11/2017,New York,NY,10018,150,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Corporation,10/30/2017,Long Island City,NY,11101,600,Printing Expenses,Print Ads
2017,2055,"Roque,De La Fuente",Other,6/20/2017,,,,350,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,10/4/2017,New York,NY,10036,61,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,10/3/2017,Far Rockaway,NY,11693,46,Campaign Workers Salaries,Campgn Wrkrs $$
2017,1752,"Abbey,Laurel-Smith",Corporation,7/28/2017,Brooklyn,NY,11216,2000,Office Rent,Office Rent
2017,1752,"Abbey,Laurel-Smith",Corporation,8/28/2017,Brooklyn,NY,11216,2000,Office Rent,Office Rent
2017,1752,"Abbey,Laurel-Smith",Corporation,9/21/2017,Brooklyn,NY,11216,2000,Office Rent,Office Rent
2017,1752,"Abbey,Laurel-Smith",Corporation,10/27/2017,Brooklyn,NY,11216,2000,Office Rent,Office Rent
2017,1752,"Abbey,Laurel-Smith",Corporation,11/27/2017,Brooklyn,NY,11216,2000,Office Rent,Office Rent
2017,1752,"Abbey,Laurel-Smith",Corporation,12/22/2017,Brooklyn,NY,11216,2000,Office Rent,Office Rent
2017,326,"Bill,de Blasio",Corporation,11/2/2017,New York,NY,10011,7000,Other,Other: explntion
2017,326,"Bill,de Blasio",Corporation,4/13/2017,Staten Island,NY,10301,152,Other,Other: explntion
2017,2103,"Aaron,Commey",Corporation,11/7/2017,New York,NY,10010,54,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,9/13/2017,MEDFORD,NJ,08055,13306,Campaign Mail,Campgn Mlngs
2017,2071,"Nicole,Malliotakis",Corporation,10/10/2017,MEDFORD,NJ,08055,13935,Campaign Mail,Campgn Mlngs
2017,2071,"Nicole,Malliotakis",Corporation,10/31/2017,MEDFORD,NJ,08055,50741,Printing Expenses,Print Ads
2017,2071,"Nicole,Malliotakis",Corporation,11/2/2017,MEDFORD,NJ,08055,4623,Printing Expenses,Print Ads
2017,2055,"Roque,De La Fuente",Corporation,5/25/2017,New York,NY,10036,189,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,5/21/2014,Brooklyn,NY,11201,140,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,8/18/2014,Brooklyn,NY,11201,228,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,3/20/2015,Brooklyn,NY,11201,228,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,10/7/2015,Brooklyn,NY,11201,410,Office Expenses,Office Expenses
2017,326,"Bill,de Blasio",Corporation,2/1/2017,Brooklyn,NY,11201,37,Campaign Mail,Campgn Mlngs
2017,2071,"Nicole,Malliotakis",Corporation,7/27/2017,Staten Island,NY,10314,15000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,9/5/2017,Staten Island,NY,10314,15000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,9/5/2017,Staten Island,NY,10314,6500,Campaign Consultants,Campgn Consuls.
2017,2071,"Nicole,Malliotakis",Corporation,9/18/2017,Staten Island,NY,10314,15000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,9/29/2017,Staten Island,NY,10314,6500,Campaign Consultants,Campgn Consuls.
2017,2071,"Nicole,Malliotakis",Corporation,10/2/2017,Staten Island,NY,10314,50000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,10/6/2017,Staten Island,NY,10314,260,Professional Services,Prof. Srvcs.
2017,2071,"Nicole,Malliotakis",Corporation,10/10/2017,Staten Island,NY,10314,10500,Campaign Consultants,Campgn Consuls.
2017,2071,"Nicole,Malliotakis",Corporation,10/26/2017,Staten Island,NY,10314,25000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,10/30/2017,Staten Island,NY,10314,925,Professional Services,Prof. Srvcs.
2017,2071,"Nicole,Malliotakis",Corporation,11/6/2017,Staten Island,NY,10314,20000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,12/1/2017,Staten Island,NY,10314,2442,Campaign Consultants,Campgn Consuls.
2017,2071,"Nicole,Malliotakis",Corporation,8/18/2017,Staten Island,NY,10314,10000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,8/11/2017,Staten Island,NY,10314,10500,Campaign Consultants,Campgn Consuls.
2017,2071,"Nicole,Malliotakis",Corporation,6/23/2017,Staten Island,NY,10314,10000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,7/10/2017,Staten Island,NY,10314,11808,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,10/26/2017,Staten Island,NY,10314,25000,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,11/9/2017,Staten Island,NY,10314,12557,Campaign Consultants,Campgn Consuls.
2017,2071,"Nicole,Malliotakis",Limited Liability Company,9/27/2017,ST. PAUL,MN,55118,20000,Campaign Mail,Campgn Mlngs
2017,2071,"Nicole,Malliotakis",Limited Liability Company,10/11/2017,ST. PAUL,MN,55118,20000,Campaign Mail,Campgn Mlngs
2017,2071,"Nicole,Malliotakis",Limited Liability Company,11/3/2017,Brooklyn,NY,11249,4518,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Limited Liability Company,11/6/2017,Brooklyn,NY,11249,6280,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Limited Liability Company,11/7/2017,Brooklyn,NY,11249,4511,Fundraising,Fundraising
2017,326,"Bill,de Blasio",Party Committee,12/28/2017,Brooklyn,NY,11236,857,Office Rent,Office Rent
2017,,"Sal,Albanese",Political Action Committee,6/20/2017,Flushing,NY,11355,1500,Petition Expenses,Petition Expns.
2017,326,"Bill,de Blasio",Individual,7/28/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,326,"Bill,de Blasio",Individual,8/15/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,326,"Bill,de Blasio",Individual,8/30/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,326,"Bill,de Blasio",Individual,9/15/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,326,"Bill,de Blasio",Individual,9/29/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,326,"Bill,de Blasio",Individual,10/13/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,326,"Bill,de Blasio",Individual,10/30/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,326,"Bill,de Blasio",Individual,11/15/2017,Yonkers,NY,10701,1500,Campaign Workers Salaries,Campgn Wrkrs $$
2017,2071,"Nicole,Malliotakis",Individual,11/5/2017,New York,NY,10027,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,New York,NY,10027,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,New York,NY,10027,125,Fundraising,Fundraising
2017,2084,"Richard,Bashner",Individual,8/24/2017,Brooklyn,NY,11237,336,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Brooklyn,NY,11207,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/4/2017,Brooklyn,NY,11207,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/5/2017,Brooklyn,NY,11207,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Brooklyn,NY,11207,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Brooklyn,NY,11225,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Brooklyn,NY,11225,125,Fundraising,Fundraising
2017,,"Sal,Albanese",Individual,7/13/2017,Brooklyn,NY,11238,3000,Campaign Consultants,Campgn Consuls.
2017,,"Sal,Albanese",Individual,5/29/2017,Brooklyn,NY,11238,3000,Petition Expenses,Petition Expns.
2017,326,"Bill,de Blasio",Corporation,6/9/2014,New York,NY,10014,22,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Corporation,10/20/2017,Astoria,NY,11102,500,Office Rent,Office Rent
2017,326,"Bill,de Blasio",Corporation,4/20/2015,New York,NY,10001,500,Other,Other: explntion
2017,2071,"Nicole,Malliotakis",Individual,11/4/2017,Rego Park,NY,11374,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Flushing,NY,11367,125,Fundraising,Fundraising
2017,326,"Bill,de Blasio",Individual,8/31/2017,Brooklyn,NY,11207,50,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/3/2017,Rego Park,NY,11374,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/4/2017,Rego Park,NY,11374,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/5/2017,Rego Park,NY,11374,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Rego Park,NY,11374,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/6/2017,Bronx,NY,10453,125,Fundraising,Fundraising
2017,2071,"Nicole,Malliotakis",Individual,11/7/2017,Bronx,NY,10453,125,Fundraising,Fundraising
